GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Candy,5,39,0,0,2,6,2,2,2,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Toblerone,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,CandyVisitor,96,269,14,26,11,39,16,20,2,11
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,MilkyWay,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,DetachedHouse,0,46,0,0,0,11,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Household,0,68,0,0,0,13,0,6,0,6
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Mars,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Twix,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Crunch,4,7,0,0,1,3,1,1,1,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Duplex,0,56,0,0,0,13,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Townhome,0,46,0,0,0,11,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,BabyRuth,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,KitKat,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Child,19,438,15,45,11,72,15,32,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,AlmondJoy,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,HalloweenNeighborhoodTraversal,58,319,15,37,20,78,12,21,0,7
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Mansion,0,51,0,0,0,12,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Snickers,0,11,0,0,0,4,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,Whoopers,4,7,0,0,1,3,1,1,1,1
