Transaction number,Date,Time,Client ID,Message,Digital signature,Verified,Transactions status
1001-0,2017/12/12,21:16:44,9,36512,1493067885,no,deposit rejected
1001-1,2017/12/12,21:16:44,17,30817,1606879491,no,withdrawal rejected
1001-2,2017/12/12,21:16:44,11,39615,1705906278,no,withdrawal rejected
1001-3,2017/12/12,21:16:44,15,31911,-1139080643,no,deposit rejected
1001-4,2017/12/12,21:16:44,0,21160,-14092108,no,deposit rejected
1001-5,2017/12/12,21:16:44,2,25520,1428528212,no,deposit rejected
1001-6,2017/12/12,21:16:44,1,29122,-1974238159,no,deposit rejected
1001-7,2017/12/12,21:16:44,11,39615,1705906278,no,withdrawal rejected
1001-8,2017/12/12,21:16:44,13,38892,180318466,no,deposit rejected
1001-9,2017/12/12,21:16:44,28,26320,-161701260,no,deposit rejected
1001-10,2017/12/12,21:16:44,31,11847,6344980581032575377646864389328807417892781425993535204689644062971319295261576029958066203183823079371936586094716681446702633422227734512425850963438118,yes,withdrawal accepted
1001-11,2017/12/12,21:16:44,18,16877,277379094256001190894996072761138356919243235948413009868534140576628591235187453110530784487593591183443225905743790636564501633956381976765007735225116,yes,withdrawal accepted
1001-12,2017/12/12,21:16:44,20,9338,1599573739245895907360461467938635035343426217512168953530961077185304946197919428752839668264766109661750707269853691376045756433765773479415666881668812,yes,withdrawal accepted
1001-13,2017/12/12,21:16:44,29,4712,895629536922791490283540928431970285985037050951297791323072705357088009547979730198464077971641780277088471576645333656935303065694673372002106822681549,yes,deposit accepted
1001-14,2017/12/12,21:16:44,30,13374,3403873331843309749029398507041219186255213417417719381934678587827844115244732433662472707720111830757544418566077978286948743132605207345785319712647507,yes,deposit accepted
1001-15,2017/12/12,21:16:44,30,13374,3403873331843309749029398507041219186255213417417719381934678587827844115244732433662472707720111830757544418566077978286948743132605207345785319712647507,yes,deposit accepted
1001-16,2017/12/12,21:16:44,4,15344,3963449132465205781109902187302929264218876758374541294630496639585859250204187454271662971621824343194562874609725036315706348446057439075785563085432977,yes,deposit accepted
1001-17,2017/12/12,21:16:44,5,15524,4248090170771572611068103571987598895039973442445100222813593373207937634335927104245381775715913548873350342102883000557183004341296965561214445733992761,yes,deposit accepted
1001-18,2017/12/12,21:16:44,12,11408,1560778147976289216455679073335122500450660692456746885358834500156291966511740624491714162539270090631170981932817567326414520527366479080333075504130202,yes,withdrawal accepted
1001-19,2017/12/12,21:16:44,35,10139,1633557648789907892213810612367177416143068269161639146065147786772346081600393000909738501436377093987797938354987726841957931602212896917914894369682358,yes,withdrawal accepted
